Gestion;2015;;;;;;;;
Type Budget;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Défense;146;9;Engagement et combat;87;Opérer en milieu hostile - Armement individuel du fantassin (AIF);0;0;0;0
Défense;146;9;Engagement et combat;88;Missile Moyenne Portée (MMP);0;0;17 769 628;37 797 033
Défense;146;10;Protection et sauvegarde;0;Missile Moyenne Portée (MMP);453 564 500;468 394 861;336 773 667;326 144 999
Défense;146;10;Protection et sauvegarde;79;Assurer la sûreté des approches - Autres opérations et assurer la sécurité de l'Etat, de la nation et des citoyens;94 164 838;386 188 320;111 415 299;140 527 815
Défense;146;10;Protection et sauvegarde;80;Assurer la sûreté des approches - Alerte avancée;0;0;0;0
Défense;146;10;Protection et sauvegarde;82;Assurer la protection des forces et des sites - Famille de systèmes sol-air futurs (FSAF);250 600 000;5 000 000;81 569 066;43 507 374
Défense;146;10;Protection et sauvegarde;86;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;108 799 662;77 206 541;128 815 083;142 109 810
Défense;146;11;Préparation et conduite des opérations d'armement;0;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;2 143 485 420;184 707 488;2 143 485 420;213 546 131
Défense;146;11;Préparation et conduite des opérations d'armement;89;Soutien DGA;1 874 857 795;79 951 833;1 889 642 994;95 422 156
Défense;146;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;139 953 625;104 755 655;125 168 426;118 123 975
Défense;146;12;Parts étrangères et programmes civils;0;Investissements pour les opérations d'armement;0;0;0;0
Défense;146;12;Parts étrangères et programmes civils;96;Parts étrangères;0;0;0;0
Défense;146;12;Parts étrangères et programmes civils;97;Programmes civils;0;0;0;0
Défense;178;1;Planification  des moyens et conduite des opérations;0;Programmes civils;1 554 522 107;464 520 346;1 579 743 440;446 590 458
Défense;178;1;Planification  des moyens et conduite des opérations;10;Emploi des forces;721 910 214;237 289 365;720 325 217;231 527 421
Défense;178;1;Planification  des moyens et conduite des opérations;11;Renseignement d'intérêt militaire;167 741 367;37 670 695;167 274 982;36 751 898
Défense;178;1;Planification  des moyens et conduite des opérations;14;Systèmes d'information et de communication;664 870 526;189 560 286;692 143 241;178 311 139
Défense;178;2;Préparation des forces terrestres;0;Systèmes d'information et de communication;7 559 778 991;1 400 897 020;7 514 755 747;1 279 715 526
Défense;178;2;Préparation des forces terrestres;1;Commandement et activités des forces terrestres;152 525 373;155 025 982;152 525 373;141 919 456
Défense;178;2;Préparation des forces terrestres;5;Ressources humaines des forces terrestres;6 262 194 346;108 862 643;6 262 194 346;100 121 299
Défense;178;2;Préparation des forces terrestres;7;Maintien en condition opérationnelle du matériel des forces terrestres;780 472 331;782 582 331;739 518 920;784 887 451
Défense;178;2;Préparation des forces terrestres;8;Environnement opérationnel des forces terrestres;364 586 941;354 426 064;360 517 108;252 787 320
Défense;178;3;Préparation des forces navales;0;Environnement opérationnel des forces terrestres;4 600 639 527;3 002 627 944;4 451 421 195;1 958 514 541
Défense;178;3;Préparation des forces navales;1;Commandement et activités des forces navales;260 835 803;256 511 950;260 185 642;255 595 803
Défense;178;3;Préparation des forces navales;5;Ressources humaines des forces navales;2 530 471 752;42 061 426;2 530 414 798;40 801 359
Défense;178;3;Préparation des forces navales;7;Maintien en condition opérationnelle du matériel des forces navales;1 670 878 443;2 583 805 334;1 523 382 768;1 543 584 866
Défense;178;3;Préparation des forces navales;8;Environnement opérationnel des forces navales;138 453 529;120 249 234;137 437 987;118 532 513
Défense;178;4;Préparation des forces aériennes;0;Environnement opérationnel des forces navales;4 439 804 218;2 170 819 840;4 327 769 894;1 866 605 808
Défense;178;4;Préparation des forces aériennes;2;Commandement et activités centralisées des forces aériennes;11 960 000;16 321 764;11 960 000;16 006 598
Défense;178;4;Préparation des forces aériennes;3;Activités des forces aériennes;236 244 566;265 660 308;236 244 566;264 202 576
